INFO  - 2016-10-29 20:32:53.126; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.127; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.128; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2016-10-29 20:32:53.129; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-10-29 20:32:53.130; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-10-29 20:32:53.131; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.132; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2016-10-29 20:32:53.133; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-10-29 20:32:53.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/dist/solr-cell-4.10.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.141; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.141; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-10-29 20:32:53.142; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.143; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
